交易所成交号,资金帐号,名称,合约,买卖,开平,成交价,成交量,委托价,委托合约,手续费,成交日期,成交时间,会员号,系统号,成交来源,定单类型,合约类型,市场日期,市场时间,T+1,委托号,成交号,平盈,流号,权利金,手续费币种
ICE       17043495  17025640                      ,476007,布伦特原油,B 1601,买　,,44.8,1,44.8,B 1601,50,2015-12-1, 01:46:29,LEVEL1,RJO2581801,E-Trade,限价,期货,2015-11-30, 17:46:29,否,14014,12304,0,12304,0,USD
CME_CBT   66215:M:9720151130PTS1S0V               ,476007,小型道琼斯指数$5,YM 1512,买　,,17730,1,17730,YM 1512,50,2015-12-1, 00:35:07,LEVEL1,RJO2581110,E-Trade,限价,期货,2015-11-30, 10:35:07,否,13752,12027,0,12027,0,USD
CME_CBT   66215:M:9520151130PTS1RT8               ,476007,小型道琼斯指数$5,YM 1512,买　,,17735,1,17735,YM 1512,50,2015-12-1, 00:30:35,LEVEL1,RJO2581097,E-Trade,限价,期货,2015-11-30, 10:30:35,否,13737,11958,0,11958,0,USD
ICE       16328393  16325360                      ,476007,布伦特原油,B 1601,买　,,45.34,1,45.34,B 1601,50,2015-12-1, 00:28:02,LEVEL1,RJO2581092,E-Trade,限价,期货,2015-11-30, 16:28:02,否,13732,11949,0,11949,0,USD
ICE       15637120  14232978                      ,476007,布伦特原油,B 1601,　卖,,45.65,1,45.65,B 1601,50,2015-11-30, 23:10:05,LEVEL1,RJO2577195,E-Trade,限价,期货,2015-11-30, 15:10:05,否,11648,11456,0,11456,0,USD
ICE       14230007  14230005                      ,476007,布伦特原油,B 1601,买　,,45.53,1,45.53,B 1601,50,2015-11-30, 19:06:18,LEVEL1,RJO2577194,E-Trade,限价,期货,2015-11-30, 11:06:18,否,11646,10074,0,10074,0,USD
ICE       13959311  13959309                      ,476007,布伦特原油,B 1601,　卖,,45.26,1,45.26,B 1601,50,2015-11-30, 18:34:27,LEVEL1,RJO2576970,E-Trade,限价,期货,2015-11-30, 10:34:27,否,11497,9950,0,9950,0,USD
ICE       13959310  13959309                      ,476007,布伦特原油,B 1601,　卖,,45.26,1,45.26,B 1601,50,2015-11-30, 18:34:26,LEVEL1,RJO2576970,E-Trade,限价,期货,2015-11-30, 10:34:26,否,11497,9949,0,9949,0,USD
446958280,476001,小型H股指数,MCH 1512,买　,,9779,1,9780,MCH 1512,30,2015-11-30, 11:12:56,LEVEL1,HKEX5C1D0D820023EBD2,E-Trade,限价,期货,2015-11-30, 11:12:58,否,4914,4262,0,4262,0,HKD
446907329,476001,小型H股指数,MCH 1512,　卖,,9810,1,9810,MCH 1512,30,2015-11-30, 09:55:26,LEVEL1,HKEX5C1D0D82000E7D96,E-Trade,限价,期货,2015-11-30, 09:55:28,否,1742,1534,0,1534,0,HKD
